time,g,°C,rssi
12/14/2020  8:58:49 PM,1.825,25,-63
12/14/2020  8:58:39 PM,0.087,25,-63.5
12/14/2020  8:58:37 PM,0.2,25,-60
12/14/2020  8:58:36 PM,0.413,25,-62.5
12/14/2020  8:58:31 PM,0.108,25,-64.5
12/14/2020  8:58:29 PM,0.211,25,-63
12/14/2020  8:58:02 PM,0.073,25,-65.5
12/14/2020  8:57:55 PM,0.207,25,-63.5
12/14/2020  8:57:49 PM,0.085,25,-62.5
12/14/2020  8:56:50 PM,0.07,25,-63.5
12/14/2020  8:56:48 PM,0.171,25,-64
12/14/2020  8:56:47 PM,0.328,25,-60.5
12/14/2020  8:56:37 PM,0.086,25,-64.5
12/14/2020  8:56:35 PM,0.215,25,-59
12/14/2020  8:56:34 PM,0.441,25,-61.5
12/14/2020  8:55:16 PM,0.062,25,-64
12/14/2020  8:55:13 PM,0.186,25,-62
12/14/2020  8:55:12 PM,0.427,25,-64.5
12/14/2020  8:54:46 PM,0.051,25,-64.5
12/14/2020  8:54:44 PM,0.16,25,-65.5
12/14/2020  8:54:43 PM,0.353,25,-67.5
12/14/2020  8:54:32 PM,0.107,25,-66
12/14/2020  8:53:36 PM,0.05,25,-64.5
12/14/2020  8:53:33 PM,0.155,25,-65
12/14/2020  8:52:45 PM,0.06,25,-65.5
12/14/2020  8:52:43 PM,0.175,25,-67
12/14/2020  8:52:42 PM,0.311,25,-61.5
12/14/2020  8:52:41 PM,0.59,25,-60
12/14/2020  8:52:39 PM,2.052,25,-59
12/14/2020  8:52:38 PM,4.497,25,-62.5
12/14/2020  8:52:05 PM,0.111,25,-65.5
12/14/2020  8:51:38 PM,0.093,25,-61
12/14/2020  8:51:36 PM,0.425,25,-57
12/14/2020  8:51:35 PM,0.2,25,-54.5
12/14/2020  8:50:54 PM,0.091,25,-62
12/14/2020  8:50:52 PM,0.2,25,-64.5
12/14/2020  8:50:50 PM,0.747,25,-63.5
12/14/2020  8:50:15 PM,0.077,25,-65
12/14/2020  8:50:13 PM,0.211,25,-62
12/14/2020  8:50:12 PM,0.411,25,-58.5
12/14/2020  8:50:05 PM,0.151,25,-54
12/14/2020  8:50:04 PM,0.363,25,-63
12/14/2020  8:50:03 PM,0.587,25,-63
12/14/2020  8:50:02 PM,0.36,25,-63
12/14/2020  8:49:37 PM,0.052,25,-61.5
12/14/2020  8:49:30 PM,0.162,25,-62.5
12/14/2020  8:49:19 PM,0.042,25,-63.5
12/14/2020  8:49:15 PM,0.153,25,-58
12/14/2020  8:49:14 PM,0.287,25,-62.5
12/14/2020  8:49:13 PM,0.505,25,-54
12/14/2020  8:49:11 PM,2.027,25,-64
12/14/2020  8:48:52 PM,0.116,25,-69
12/14/2020  8:48:50 PM,0.242,25,-62.5
12/14/2020  8:48:37 PM,0.1,25,-64
12/14/2020  8:48:36 PM,0.218,25,-62.5
12/14/2020  8:48:32 PM,0.272,25,-60.5
12/14/2020  8:47:11 PM,0.112,25,-61
12/14/2020  8:47:09 PM,0.283,25,-63.5
12/14/2020  8:47:05 PM,0.123,25,-61.5
12/14/2020  8:47:04 PM,0.238,25,-55.5
12/14/2020  8:46:12 PM,0.122,25,-58
12/14/2020  8:46:11 PM,0.272,25,-62.5
12/14/2020  8:45:47 PM,0.05,25,-59
12/14/2020  8:45:44 PM,0.171,25,-59
12/14/2020  8:45:42 PM,0.33,25,-63.5
12/14/2020  8:45:40 PM,0.708,25,-63.5
12/14/2020  8:44:43 PM,0.098,26,-64
12/14/2020  8:43:18 PM,0.038,25,-60
12/14/2020  8:39:18 PM,0.063,25,-62
12/14/2020  8:39:15 PM,0.173,25,-63
12/14/2020  8:39:13 PM,0.042,25,-63
12/14/2020  8:39:04 PM,0.16,25,-61.5
12/14/2020  8:38:51 PM,0.047,25,-59.5
12/14/2020  8:38:48 PM,0.167,25,-63
12/14/2020  8:38:47 PM,0.286,25,-64.5
12/14/2020  8:38:45 PM,1.278,25,-63
