time,g avg,g high,g low,°C avg,°C high,°C low,sample qty,rssi avg,rssi high,rssi low
1/12/2021  2:00:00 PM,0.037,0.053,0.026,25,25,25,30,-58,-53,-62
1/12/2021  1:00:00 PM,0.311,6.327,0.018,25,26,25,113,-59,-51.5,-68.5
1/12/2021  12:00:00 PM,0.1,0.533,0.031,25,25,24,50,-59,-51.5,-63.5
1/12/2021  11:00:00 AM,0.037,0.057,0.021,25,26,25,30,-58,-53,-61.5
1/12/2021  10:00:00 AM,0.038,0.057,0.027,26,26,26,30,-58,-53,-62
1/12/2021  9:00:00 AM,0.037,0.05,0.028,25,26,25,30,-58,-53.5,-61.5
1/12/2021  8:00:00 AM,0.037,0.055,0.026,25,25,24,30,-58,-54,-61.5
1/12/2021  7:00:00 AM,0.036,0.046,0.028,25,25,25,30,-58,-53,-61
1/12/2021  6:00:00 AM,0.041,0.061,0.03,25,25,25,30,-58,-50.5,-62
1/12/2021  5:00:00 AM,0.037,0.048,0.027,25,25,25,30,-58,-50.5,-61
1/12/2021  4:00:00 AM,0.038,0.051,0.023,25,25,25,30,-57,-53,-62
1/12/2021  3:00:00 AM,0.036,0.051,0.023,25,25,25,30,-57,-51.5,-62
1/12/2021  2:00:00 AM,0.035,0.06,0.025,25,25,25,30,-58,-53,-61.5
1/12/2021  1:00:00 AM,0.038,0.055,0.017,25,25,25,29,-58,-51.5,-62
1/12/2021  12:00:00 AM,0.039,0.048,0.023,25,25,25,30,-57,-52.5,-61.5
1/11/2021  11:00:00 PM,0.037,0.053,0.022,25,25,25,30,-58,-49.5,-61.5
1/11/2021  10:00:00 PM,0.036,0.05,0.022,25,25,25,30,-58,-52,-62
1/11/2021  9:00:00 PM,0.036,0.047,0.023,25,25,25,30,-58,-52,-62
1/11/2021  8:00:00 PM,0.038,0.055,0.027,25,25,25,30,-58,-53,-61
1/11/2021  7:00:00 PM,0.037,0.055,0.025,25,25,25,30,-58,-51.5,-61
1/11/2021  6:00:00 PM,0.04,0.052,0.023,25,26,25,30,-58,-51.5,-62
1/11/2021  5:00:00 PM,0.037,0.062,0.015,26,26,26,30,-57,-52.5,-60
1/11/2021  4:00:00 PM,0.035,0.046,0.017,26,26,26,30,-58,-51,-61
1/11/2021  3:00:00 PM,0.347,4.255,0.021,26,26,25,409,-58,-50,-63.5
1/11/2021  2:00:00 PM,0.329,4.746,0.031,25,25,25,258,-59,-50,-68.5
1/11/2021  1:00:00 PM,0.039,0.06,0.026,25,25,25,29,-58,-52,-61.5
1/11/2021  12:00:00 PM,0.038,0.06,0.026,25,25,25,30,-59,-53,-62.5
1/11/2021  11:00:00 AM,0.043,0.166,0.026,25,25,25,31,-60,-53.5,-62.5
1/11/2021  10:00:00 AM,0.035,0.053,0.018,25,26,25,30,-59,-51.5,-62.5
1/11/2021  9:00:00 AM,0.039,0.052,0.025,25,26,25,30,-59,-51.5,-63
1/11/2021  8:00:00 AM,0.05,0.293,0.028,25,25,24,32,-59,-53.5,-67
1/11/2021  7:00:00 AM,0.038,0.053,0.022,24,25,23,29,-58,-50.5,-63
1/11/2021  6:00:00 AM,0.038,0.057,0.026,25,25,25,30,-59,-53.5,-62.5
1/11/2021  5:00:00 AM,0.038,0.052,0.026,25,25,25,30,-59,-53,-63
1/11/2021  4:00:00 AM,0.039,0.057,0.026,25,25,25,30,-59,-53.5,-62.5
1/11/2021  3:00:00 AM,0.039,0.055,0.021,25,25,25,30,-59,-52.5,-63
1/11/2021  2:00:00 AM,0.037,0.056,0.023,25,25,25,29,-58,-53.5,-62.5
1/11/2021  1:00:00 AM,0.039,0.055,0.028,25,25,25,30,-59,-54.5,-63
1/11/2021  12:00:00 AM,0.038,0.052,0.03,25,25,25,30,-59,-54.5,-63
1/10/2021  11:00:00 PM,0.038,0.056,0.028,25,25,25,30,-59,-54,-62.5
1/10/2021  10:00:00 PM,0.039,0.051,0.026,25,25,25,30,-59,-53,-63
1/10/2021  9:00:00 PM,0.037,0.053,0.026,25,25,25,30,-59,-54,-63
1/10/2021  8:00:00 PM,0.038,0.058,0.026,25,25,25,30,-60,-54,-62.5
1/10/2021  7:00:00 PM,0.035,0.051,0.023,25,25,25,30,-58,-53.5,-62.5
1/10/2021  6:00:00 PM,0.038,0.051,0.027,25,25,25,30,-59,-53.5,-62.5
1/10/2021  5:00:00 PM,0.051,0.48,0.021,25,25,25,32,-59,-53.5,-63
1/10/2021  4:00:00 PM,0.035,0.051,0.021,25,25,25,30,-59,-53.5,-63
1/10/2021  3:00:00 PM,0.038,0.048,0.028,25,25,25,30,-59,-55.5,-62.5
1/10/2021  2:00:00 PM,0.038,0.053,0.021,25,25,25,30,-59,-54.5,-62.5
1/10/2021  1:00:00 PM,0.037,0.055,0.022,25,25,25,30,-59,-55,-63
1/10/2021  12:00:00 PM,0.037,0.055,0.023,25,25,25,30,-59,-54,-63
1/10/2021  11:00:00 AM,0.036,0.052,0.023,25,25,25,30,-58,-53,-62.5
1/10/2021  10:00:00 AM,0.039,0.048,0.021,25,25,25,28,-59,-53,-63
1/10/2021  9:00:00 AM,0.037,0.048,0.023,25,25,25,30,-58,-53,-62.5
1/10/2021  8:00:00 AM,0.038,0.056,0.023,25,25,25,30,-59,-53,-63
1/10/2021  7:00:00 AM,0.04,0.053,0.027,25,25,25,30,-59,-53,-62
1/10/2021  6:00:00 AM,0.035,0.047,0.021,25,25,25,30,-59,-53,-63
1/10/2021  5:00:00 AM,0.033,0.046,0.022,25,25,25,30,-58,-53.5,-62.5
1/10/2021  4:00:00 AM,0.038,0.05,0.022,25,25,25,30,-58,-52.5,-62.5
1/10/2021  3:00:00 AM,0.039,0.055,0.026,25,25,25,30,-59,-51.5,-63.5
1/10/2021  2:00:00 AM,0.034,0.051,0.016,25,25,25,30,-59,-53,-63.5
1/10/2021  1:00:00 AM,0.037,0.056,0.026,25,25,25,30,-60,-53.5,-63
1/10/2021  12:00:00 AM,0.039,0.055,0.032,25,26,25,30,-59,-55,-62.5
1/9/2021  11:00:00 PM,0.059,0.465,0.023,25,25,25,34,-59,-53.5,-65.5
1/9/2021  10:00:00 PM,0.261,2.528,0.025,25,25,25,97,-60,-54.5,-67.5
1/9/2021  9:00:00 PM,0.168,2.212,0.027,25,25,25,59,-60,-54.5,-64
1/9/2021  8:00:00 PM,0.384,6.928,0.023,25,25,25,137,-61,-50.5,-64.5
1/9/2021  7:00:00 PM,0.037,0.05,0.025,25,26,25,30,-61,-55,-63.5
1/9/2021  6:00:00 PM,0.038,0.05,0.028,25,25,25,30,-61,-56.5,-64.5
1/9/2021  5:00:00 PM,0.038,0.055,0.021,25,25,25,30,-62,-57,-63.5
1/9/2021  4:00:00 PM,0.035,0.053,0.017,25,25,25,30,-61,-55.5,-63.5
1/9/2021  3:00:00 PM,0.037,0.053,0.022,25,25,25,30,-61,-56.5,-63.5
1/9/2021  2:00:00 PM,0.036,0.046,0.023,25,25,25,30,-61,-56.5,-63.5
1/9/2021  1:00:00 PM,0.037,0.053,0.025,25,25,25,30,-62,-55.5,-63.5
1/9/2021  12:00:00 PM,0.331,5.332,0.021,25,25,25,207,-61,-54.5,-70.5
1/9/2021  11:00:00 AM,0.037,0.058,0.021,25,25,25,28,-61,-56,-64.5
1/9/2021  10:00:00 AM,0.039,0.047,0.026,25,25,25,27,-61,-56.5,-64
1/9/2021  9:00:00 AM,0.036,0.062,0.02,25,25,25,30,-61,-56,-64.5
1/9/2021  8:00:00 AM,0.037,0.05,0.027,25,25,25,30,-62,-54,-64.5
1/9/2021  7:00:00 AM,0.037,0.052,0.022,25,25,25,29,-61,-55.5,-64.5
1/9/2021  6:00:00 AM,0.037,0.051,0.025,25,25,25,30,-62,-56.5,-66
1/9/2021  5:00:00 AM,0.036,0.055,0.025,25,25,25,30,-61,-56,-64.5
1/9/2021  4:00:00 AM,0.037,0.048,0.026,25,25,25,29,-61,-56,-64.5
